Date,Open,High,Low,Close,Volume
2019-03-25,0.744946,0.746402,0.743848,0.746029,61762
2019-03-26,0.746040,0.747887,0.745657,0.747267,62427
2019-03-27,0.747222,0.747602,0.744109,0.745701,64745
2019-03-28,0.745718,0.746536,0.743494,0.744624,64218
2019-03-29,0.744624,0.749586,0.743965,0.749075,55610
2019-04-01,0.749327,0.752055,0.747943,0.751597,55496
2019-04-02,0.751490,0.751981,0.747770,0.749979,57784
2019-04-03,0.749906,0.752145,0.748923,0.749507,51359
2019-04-04,0.749378,0.749878,0.747831,0.748654,47955
2019-04-05,0.748542,0.749176,0.746157,0.747563,49517
2019-04-08,0.747367,0.751665,0.747016,0.751236,46058
2019-04-09,0.751151,0.752836,0.750171,0.750334,48726
2019-04-10,0.750227,0.751575,0.748559,0.750954,46826
2019-04-11,0.750813,0.751337,0.746542,0.747217,46992
2019-04-12,0.747211,0.751179,0.747138,0.750435,56195
2019-04-15,0.750407,0.752083,0.746854,0.748206,45386
2019-04-16,0.748167,0.749322,0.746152,0.749153,50645
2019-04-17,0.749148,0.753375,0.747854,0.749614,57098
2019-04-18,0.749754,0.750126,0.746324,0.747719,55473
2019-04-19,0.747446,0.748268,0.746659,0.746899,30645
2019-04-22,0.746971,0.749940,0.746848,0.749311,34538
2019-04-23,0.749254,0.749490,0.743937,0.745079,42796
2019-04-24,0.745034,0.745362,0.739596,0.741180,64366
2019-04-25,0.740960,0.741944,0.739869,0.741620,48560
2019-04-26,0.741614,0.743439,0.740894,0.743273,55477
2019-04-29,0.743273,0.744103,0.741928,0.743146,38230
2019-04-30,0.743157,0.747367,0.741878,0.747005,55129
2019-05-01,0.746910,0.747608,0.742909,0.743832,47592
2019-05-02,0.744297,0.744613,0.742082,0.742181,53575
2019-05-03,0.742176,0.745974,0.741345,0.745190,50261
2019-05-06,0.743273,0.744518,0.741109,0.743738,51642
2019-05-07,0.743666,0.745784,0.741405,0.742297,53212
2019-05-08,0.742286,0.743826,0.741515,0.742043,56162
2019-05-09,0.742065,0.743047,0.740494,0.742087,59789
2019-05-10,0.742110,0.747412,0.741614,0.745551,72106
2019-05-13,0.745262,0.745418,0.741658,0.741972,52992
2019-05-14,0.741658,0.743207,0.741482,0.742843,45630
2019-05-15,0.742754,0.744812,0.741152,0.744302,52758
2019-05-16,0.744280,0.746291,0.742462,0.743025,41532
2019-05-17,0.742931,0.744385,0.740056,0.742699,57505
2019-05-20,0.744097,0.745418,0.743191,0.744762,46622
2019-05-21,0.744685,0.746558,0.744458,0.746024,50821
2019-05-22,0.746079,0.748705,0.744230,0.744446,47718
2019-05-23,0.744230,0.744629,0.740647,0.742286,62497
2019-05-24,0.742308,0.744640,0.741763,0.744048,52602
2019-05-27,0.744186,0.744685,0.743384,0.743948,28261
2019-05-28,0.743931,0.744469,0.740845,0.741131,49460
2019-05-29,0.741147,0.741856,0.738247,0.739733,64228
2019-05-30,0.739716,0.741587,0.739672,0.740850,46910
2019-05-31,0.740856,0.741158,0.737251,0.739941,68878
2019-06-03,0.739711,0.744380,0.739279,0.744247,65642
2019-06-04,0.744236,0.747356,0.743577,0.746648,60929
2019-06-05,0.746748,0.748402,0.744751,0.745529,60629
2019-06-06,0.745295,0.748565,0.744635,0.748453,57103
2019-06-07,0.748425,0.754074,0.748111,0.753858,57194
2019-06-10,0.755298,0.755350,0.753006,0.753756,44745
2019-06-11,0.753750,0.754757,0.751433,0.752797,49222
2019-06-12,0.752842,0.753438,0.749417,0.749518,46662
2019-06-13,0.749518,0.751925,0.749518,0.750469,46332
2019-06-14,0.750475,0.750616,0.745057,0.745796,50491
2019-06-17,0.745924,0.746703,0.745212,0.745651,38916
2019-06-18,0.745618,0.747714,0.744513,0.747613,51754
2019-06-19,0.747630,0.753103,0.747261,0.753040,58552
2019-06-20,0.753052,0.760439,0.752649,0.758167,67697
2019-06-21,0.758185,0.759803,0.755938,0.756304,55847
2019-06-24,0.756888,0.758910,0.756676,0.758800,39706
2019-06-25,0.758812,0.760370,0.757157,0.759474,55796
2019-06-26,0.759486,0.763009,0.757880,0.761835,48773
2019-06-27,0.761858,0.763895,0.761203,0.763744,41542
2019-06-28,0.763744,0.765773,0.763260,0.764070,45595
2019-07-01,0.764468,0.765129,0.760786,0.761429,43445
2019-07-02,0.761429,0.763609,0.761180,0.763009,44309
2019-07-03,0.762986,0.765943,0.762288,0.765943,43882
2019-07-04,0.765955,0.767065,0.764602,0.766407,26465
2019-07-05,0.766331,0.766671,0.761284,0.764842,39690
2019-07-08,0.765339,0.766331,0.763201,0.763592,19155
2019-07-09,0.763697,0.763954,0.760960,0.761858,36105
2019-07-10,0.761864,0.765568,0.760815,0.764520,56760
2019-07-11,0.764526,0.766771,0.763872,0.765082,47372
2019-07-12,0.765082,0.768173,0.764666,0.767619,44740
2019-07-15,0.767660,0.767984,0.766090,0.766401,35911
2019-07-16,0.766430,0.767872,0.763854,0.764111,43760
2019-07-17,0.764117,0.767148,0.763738,0.766172,33888
2019-07-18,0.766201,0.767743,0.763627,0.767666,40902
2019-07-19,0.767666,0.768285,0.762800,0.765902,48892
2019-07-22,0.765732,0.766854,0.762218,0.762346,36537
2019-07-23,0.762340,0.762567,0.759630,0.761435,31161
2019-07-24,0.761504,0.762265,0.760422,0.761110,32454
2019-07-25,0.761110,0.762474,0.759469,0.759619,40036
2019-07-26,0.759619,0.760318,0.757627,0.759653,32261
2019-07-29,0.759896,0.760514,0.758593,0.759803,22233
2019-07-30,0.759815,0.760821,0.758041,0.760393,32411
2019-07-31,0.760445,0.763050,0.756756,0.758173,54049
2019-08-01,0.758179,0.758587,0.754859,0.756951,60240
2019-08-02,0.756951,0.757627,0.753812,0.757599,78528
2019-08-05,0.756991,0.758881,0.754871,0.756928,67606
2019-08-06,0.757725,0.758340,0.752389,0.753091,79652
2019-08-07,0.753080,0.753756,0.749378,0.751834,89604
2019-08-08,0.751834,0.756355,0.751089,0.756121,68999
2019-08-09,0.756144,0.757811,0.753330,0.756928,50315
